date,minimum,maximum,range,mean,std
2022-03-01,-2.92399811745,-2.84650611877,0.0774919986725,-2.89124364164,0.0193357535752
2022-04-01,-2.69852685928,-2.64271211624,0.055814743042,-2.67259834186,0.0128798023859
2022-05-01,-3.59144759178,-3.52068161964,0.0707659721375,-3.55979324823,0.0174911310456
2022-06-01,-3.9789493084,-3.9406580925,0.0382912158966,-3.96710208525,0.00949044922502
2022-07-01,-3.98040628433,-3.95872378349,0.0216825008392,-3.96914699853,0.00564728502206
2022-08-01,-3.92662858963,-3.9002828598,0.0263457298279,-3.91352413936,0.00663954829567
2022-09-01,-2.29004526138,-2.12491226196,0.16513299942,-2.20975544079,0.041294879432
2022-10-01,-0.775693595409,-0.563749730587,0.211943864822,-0.666361663715,0.0546215661571
2022-11-01,0.531970202923,0.857853293419,0.325883090496,0.693864673017,0.075322486745
2022-12-01,2.41386604309,2.5787653923,0.164899349213,2.48505319457,0.0392350476398
