Total Turistas,Mes,Ano
537243,12,2022
616341,11,2022
774690,10,2022
802279,9,2022
826264,8,2022
813335,7,2022
741976,6,2022
727905,5,2022
673247,4,2022
512584,3,2022
384171,2,2022
254351,1,2022
355636,12,2021
473944,11,2021
569725,10,2021
462824,9,2021
480506,8,2021
286379,7,2021
249804,6,2021
201015,5,2021
110644,4,2021
73498,3,2021
56032,2,2021
84971,1,2021
123564,12,2020
102940,11,2020
192469,10,2020
232229,9,2020
272339,8,2020
150764,7,2020
71275,6,2020
31727,5,2020
14899,4,2020
222422,3,2020
507502,2,2020
511041,1,2020
553294,12,2019
619300,11,2019
775999,10,2019
804643,9,2019
832926,8,2019
782999,7,2019
778115,6,2019
788719,5,2019
697925,4,2019
636285,3,2019
487096,2,2019
459380,1,2019
485385,12,2018
